review_id,product_id,user_id,rating,comment,review_date
1,1,3,5,"Absolutely love the Samsung Galaxy S23! The display and camera quality are top-notch.","2025-09-20 10:15:00"
2,2,4,4,"The MacBook Air M2 is fast and sleek, but I wish it had more ports.","2025-09-22 14:40:00"
3,3,6,5,"These Sony headphones are incredible for noise cancellation. Worth every penny!","2025-09-25 09:30:00"
4,4,7,3,"Good jeans for the price, but the fit could be a little better.","2025-09-27 18:20:00"
5,7,5,4,"Hydrating Face Cream feels smooth and keeps my skin soft all day.","2025-09-29 11:45:00"
6,14,2,5,"The coffee table looks great in my living room. Sturdy and elegant.","2025-10-02 16:05:00"
7,15,3,4,"Comfortable sofa and good quality material. Delivery took a bit long.","2025-10-04 13:50:00"
8,16,1,5,"I love this green tea—refreshing and aromatic. Highly recommend!","2025-10-06 09:25:00"
9,19,2,4,"The yoga mat is thick and doesn’t slip. Great for daily workouts.","2025-10-08 17:10:00"
10,21,4,5,"Wireless mouse is responsive and ergonomic. Battery lasts forever!","2025-10-10 15:35:00"
